id,emoji,titleKo,titleEn,category,difficulty
1,👁️,비둘기와 10초 동안 눈 마주치기,Make eye contact with the pigeon for 10 seconds,관찰 / observation,easy
2,🚗,지나가는 차 번호 하루종일 외우기,Count the 5 colors of passing cars,관찰 / observation,easy
3,☁️,구름에서 동물 모양 찾기,Find animal shapes in the clouds,관찰 / observation,easy
4,⭕,주변에서 동그란 것 5개 찾기,Find 5 round things around you,관찰 / observation,easy
5,🛗,엘리베이터 층버튼 중 가장 많이 눌린 거 추측하기,Guess which elevator button was pressed the most?,관찰 / observation,easy
6,🚦,신호등이 바뀌는 순간을 카운트 해서 맞추기,Count and adjust the moment when the traffic light changes,관찰 / observation,easy
7,🧦,오늘 신은 양말 어디서났는지 생각하기,Describe exactly the pattern of the socks you wore today,관찰 / observation,easy
8,🌳,주변의 나무 이름 하나 찾아보기,Remember the tallest tree you passed today,관찰 / observation,easy
9,🐜,개미 발견하고 30초간 따라다니기,Spot an ant and follow it for 30 seconds.,관찰 / observation,easy
10,🔲,주변에서 가장 완벽한 네모 찾기,Find the most perfect square around,관찰 / observation,easy
11,🐕,오늘 본 강아지 이름 마음대로 짓기,Guess the breed of dog you saw today,관찰 / observation,medium
12,🎨,자화상 그려서 친구에게 팔기,Name the three main colors of the scenery you see now.,관찰 / observation,easy
13,👣,주변 사물에서 눈코입 모양 찾기,"Find the shape of eyes, nose, and mouth in objects around you",관찰 / observation,easy
14,😑,1분동안 눈감고 들리는 소리에 집중하기,List 10 things you see outside your window,관찰 / observation,easy
15,⏱️,눈 감고 정확히 1분 세어보기,Close your eyes and count to exactly one minute,관찰 / observation,medium
16,🗑️,길에서 쓰레기통 3개 찾기,Find 3 trash cans on the street,관찰 / observation,easy
17,🌈,주변에서 무지개 색 순서대로 빨리 찾기,Find rainbow colors around you in order,관찰 / observation,hard
18,🚶,앞 사람 걸음에 발맞춰 걷기,Count 10 steps of the person in front of you,관찰 / observation,easy
19,📦,편의점에서 가장 이상한 상품 이름 찾기,Find the strangest product names at convenience stores,관찰 / observation,easy
20,🔍,주변에서 글자 'ㅎ'이 들어간 간판 찾기,Find a sign with the letter ‘ㅎ’ nearby.,관찰 / observation,easy
21,🏪,편의점에서 가장 싼물건 사기,Count steps to the nearest convenience store,관찰 / observation,medium
22,💡,발명 하나 하기,Count the number of lights currently visible,관찰 / observation,easy
23,🎩,"누군가에게 '보스, 부르셨습니까?' 하고 말하기","Ask someone, 'boss, did you call me?'and say",말하기 / speech,medium
24,📻,오늘 들은 노래를 라디오 DJ처럼 소개하기,Introduce the song you heard today like a radio dj,말하기 / speech,easy
