id,emoji,titleKo,titleEn,category,difficulty
1,👁️,비둘기와 10초 동안 눈 마주치기,Make eye contact with a pigeon for 10 seconds,observation,easy
2,🚗,지나가는 차 번호 하루종일 외우기,Remember passing car numbers all day,observation,easy
3,☁️,구름에서 동물 모양 찾기,Find animal shapes in clouds,observation,easy
4,⭕,주변에서 동그란 것 5개 찾기,Find 5 round things around you,observation,easy
5,🛗,엘리베이터 층버튼 중 가장 많이 눌린 거 추측하기,Guess which elevator button was pressed most,observation,easy
6,🚦,신호등이 바뀌는 순간을 카운트 해서 맞추기,Count and guess when the traffic light changes,observation,medium
7,🧦,오늘 신은 양말 어디서났는지 생각하기,Remember where your socks came from today,observation,easy
8,🌳,주변의 나무 이름 하나 찾아보기,Find and name a tree nearby,observation,easy
9,🐜,개미 발견하고 30초간 따라다니기,Spot an ant and follow it for 30 seconds,observation,easy
10,🔲,주변에서 가장 완벽한 네모 찾기,Find the most perfect square around,observation,easy
11,🐕,오늘 본 강아지 이름 마음대로 짓기,Give a name to a dog you saw today,observation,easy
12,🎨,자화상 그려서 친구에게 팔기,Count the colors of food on your plate,observation,easy
13,👣,주변 사물에서 눈코입 모양 찾기,"Find shapes of eyes, nose, and mouth in objects",observation,easy
14,😑,1분동안 눈감고 들리는 소리에 집중하기,Close your eyes for 1 minute and focus on sounds,observation,easy
15,⏱️,눈 감고 정확히 1분 세어보기,Close your eyes and count to exactly 1 minute,observation,medium
16,🗑️,길에서 쓰레기통 3개 찾기,Find 3 trash cans on the street,observation,easy
17,🌈,주변에서 무지개 색 순서대로 빨리 찾기,Find rainbow colors in order around you,observation,hard
18,🚶,앞 사람 걸음에 발맞춰 걷기,Walk in sync with the person in front of you,observation,easy
19,📦,편의점에서 가장 이상한 상품 이름 찾기,Find the strangest product names at convenience stores,observation,easy
20,🔍,주변에서 글자 'ㅎ'이 들어간 간판 찾기,Find a sign with the letter 'ㅎ' nearby,observation,easy
21,🏪,편의점에서 가장 싼물건 사기,Buy the cheapest item at a convenience store,observation,easy
22,💡,발명 하나 하기,Invent something,creative,medium
